,Elementary flow,CF
86,"('Hydrocarbons, chlorinated', ('air', 'urban air close to ground'))",13.8
87,"('Methane, fossil', ('air', 'low population density, long-term'))",36.0
88,"('Methane, fossil', ('air', 'non-urban air or from high stacks'))",36.0
89,"('Methane, fossil', ('air',))",36.0
90,"('Methane, fossil', ('air', 'urban air close to ground'))",36.0
91,"('Methane, from soil or biomass stock', ('air', 'low population density, long-term'))",34.0
92,"('Methane, from soil or biomass stock', ('air', 'non-urban air or from high stacks'))",34.0
93,"('Methane, from soil or biomass stock', ('air',))",34.0
94,"('Methane, from soil or biomass stock', ('air', 'urban air close to ground'))",34.0
95,"('Methane, non-fossil', ('air', 'low population density, long-term'))",34.0
96,"('Methane, non-fossil', ('air', 'non-urban air or from high stacks'))",34.0
97,"('Methane, non-fossil', ('air',))",34.0
98,"('Methane, non-fossil', ('air', 'urban air close to ground'))",34.0
99,"('Methylchloride', ('air',))",15.0
100,"('Methylchloride', ('air', 'urban air close to ground'))",15.0
101,"('Monochloropentafluoroethane', ('air', 'low population density, long-term'))",8520.0
102,"('Monochloropentafluoroethane', ('air', 'non-urban air or from high stacks'))",8520.0
103,"('Monochloropentafluoroethane', ('air',))",8520.0
104,"('Monochloropentafluoroethane', ('air', 'urban air close to ground'))",8520.0
105,"('Nitrogen fluoride', ('air', 'low population density, long-term'))",17900.0
106,"('Nitrogen fluoride', ('air', 'non-urban air or from high stacks'))",17900.0
107,"('Nitrogen fluoride', ('air',))",17900.0
108,"('Nitrogen fluoride', ('air', 'urban air close to ground'))",17900.0
109,"('Pentafluoroethane', ('air', 'low population density, long-term'))",3690.0
110,"('Pentafluoroethane', ('air', 'non-urban air or from high stacks'))",3690.0
111,"('Pentafluoroethane', ('air',))",3690.0
112,"('Pentafluoroethane', ('air', 'urban air close to ground'))",3690.0
113,"('Perfluoropentane', ('air',))",9480.0
114,"('Sulfur hexafluoride', ('air', 'low population density, long-term'))",26100.0
115,"('Sulfur hexafluoride', ('air', 'non-urban air or from high stacks'))",26100.0
116,"('Sulfur hexafluoride', ('air',))",26100.0
117,"('Sulfur hexafluoride', ('air', 'urban air close to ground'))",26100.0
118,"('Sulfuryl fluoride', ('air', 'non-urban air or from high stacks'))",4730.0
119,"('Sulfuryl fluoride', ('air',))",4730.0
120,"('Tetrafluoromethane', ('air', 'low population density, long-term'))",7350.0
121,"('Tetrafluoromethane', ('air', 'non-urban air or from high stacks'))",7350.0
122,"('Tetrafluoromethane', ('air',))",7350.0
123,"('Tetrafluoromethane', ('air', 'urban air close to ground'))",7350.0
124,"('Trichlorofluoromethane', ('air',))",5350.0
125,"('Trichlorofluoromethane', ('air', 'urban air close to ground'))",5350.0
126,"('Trifluoromethane', ('air', 'low population density, long-term'))",13900.0
127,"('Trifluoromethane', ('air', 'non-urban air or from high stacks'))",13900.0
128,"('Trifluoromethane', ('air',))",13900.0
129,"('Trifluoromethane', ('air', 'urban air close to ground'))",13900.0
